model,wielkosc,zapach,wosk,dostepnosc,cena,kod,iloscsprzedanych,dataostatniejsprzedazy
Ljus,M,Lawenda,Pszczeli,false,20.00 zł,236211600876,245,2023-05-30
Lägereld,S,Grejpfrut,Parafinowy,true,30.00 zł,504069704337,643,2023-01-27
Veke,S,Mięta,Rzepakowy,true,30.00 zł,517297418306,147,2023-02-12
Stjärna,S,Kokos,Pszczeli,false,40.00 zł,598434700809,767,2022-09-24
Ljus,S,Świerk,Parafinowy,false,10.00 zł,632961447858,193,2023-07-22
Stjärna,S,Wanilia,Rzepakowy,true,40.00 zł,272142252526,129,2022-10-02
Glans,L,Hiacynt,Sojowy,false,45.00 zł,188041921082,792,2022-11-29
Lägereld,M,Sosna,Rzepakowy,true,40.00 zł,234103399659,389,2023-01-26
Ljus,L,Wanilia,Parafinowy,true,30.00 zł,826632334721,547,2023-07-08
Lykta,S,Świerk,Parafinowy,true,20.00 zł,502769240708,772,2023-05-18
Ljus,M,Pomarańcza-goździki,Parafinowy,false,20.00 zł,769089963781,667,2022-11-01
Takfönster,L,Pomarańcza-goździki,Pszczeli,true,35.00 zł,995303099597,103,2022-11-25
Glans,M,Jaśmin,Rzepakowy,false,35.00 zł,602503961937,946,2023-08-24
Lägereld,L,Fiołek,Pszczeli,true,50.00 zł,084718125372,461,2022-09-09
Gryning,M,Sosna,Rzepakowy,false,20.00 zł,336321524019,382,2023-02-17
Lägereld,S,Grejpfrut,Sojowy,false,30.00 zł,136048672032,671,2022-12-11
Ljus,M,Trawa cytrynowa,Parafinowy,false,20.00 zł,513711399910,297,2022-08-12
Glans,L,Sosna,Parafinowy,false,45.00 zł,269366849719,241,2023-10-06
Gryning,S,Jabłko-cynamon,Pszczeli,false,10.00 zł,061712683426,307,2023-06-16
Glans,M,Pomarańcza-goździki,Sojowy,false,35.00 zł,510007496582,23,2023-11-21
Ljus,M,Jabłko-cynamon,Sojowy,true,20.00 zł,649862628594,588,2023-03-19
Lägereld,S,Trawa cytrynowa,Sojowy,false,30.00 zł,165643437147,684,2023-06-09
Takfönster,S,Wanilia,Rzepakowy,true,15.00 zł,304724918967,782,2023-01-10
Veke,S,Grejpfrut,Rzepakowy,true,30.00 zł,671351445312,487,2023-07-29
Lägereld,L,Świerk,Sojowy,true,50.00 zł,504506987883,55,2023-09-04
Stjärna,M,Kokos,Parafinowy,true,50.00 zł,678782730122,965,2023-03-26
Veke,L,Sosna,Sojowy,true,50.00 zł,154952062633,253,2023-04-13
Glans,M,Kokos,Parafinowy,false,35.00 zł,996219910462,426,2023-10-17
Stjärna,M,Świerk,Parafinowy,true,50.00 zł,622099341712,877,2023-02-07
Stjärna,M,Hiacynt,Rzepakowy,false,50.00 zł,608043348688,88,2022-09-08
Takfönster,S,Lawenda,Rzepakowy,true,15.00 zł,681579016915,308,2023-03-20
Lägereld,S,Kokos,Parafinowy,true,30.00 zł,854133323139,940,2022-09-16
Lykta,L,Wanilia,Parafinowy,true,40.00 zł,370603532541,299,2023-05-06
Veke,S,Fiołek,Rzepakowy,true,30.00 zł,080144893487,759,2023-02-06
Lykta,L,Świerk,Parafinowy,false,40.00 zł,311391804600,471,2023-12-02
Lägereld,M,Fiołek,Parafinowy,false,40.00 zł,337137521569,871,2022-12-05
Lägereld,M,Sosna,Sojowy,true,40.00 zł,456082410073,91,2023-01-06
Lägereld,L,Jaśmin,Parafinowy,true,50.00 zł,129289779893,849,2023-05-09
Gryning,M,Lawenda,Sojowy,false,20.00 zł,094699219030,839,2023-03-01
Glans,S,Lawenda,Pszczeli,false,25.00 zł,751750968436,413,2023-05-31
Veke,L,Jabłko-cynamon,Parafinowy,false,50.00 zł,029871215814,83,2022-08-16
Stjärna,M,Pomarańcza-goździki,Sojowy,true,50.00 zł,505190443771,635,2023-09-30
Lykta,S,Wanilia,Sojowy,true,20.00 zł,911011898858,963,2022-10-11
Gryning,M,Jabłko-cynamon,Parafinowy,false,20.00 zł,905616966329,794,2022-11-12
Veke,M,Lawenda,Sojowy,true,40.00 zł,279835717975,448,2022-10-04
Lägereld,S,Wanilia,Sojowy,true,30.00 zł,925934474298,722,2022-11-15
Stjärna,M,Jaśmin,Parafinowy,true,50.00 zł,266645089794,707,2022-12-02
Veke,L,Mięta,Parafinowy,false,50.00 zł,076742663276,842,2023-05-16
Stjärna,L,Mięta,Parafinowy,true,60.00 zł,297442004853,986,2023-11-27
Lykta,S,Kokos,Pszczeli,true,20.00 zł,233106189596,283,2023-12-02
Veke,L,Kokos,Rzepakowy,true,50.00 zł,324572031379,209,2023-11-29
Veke,L,Wanilia,Sojowy,true,50.00 zł,884044305599,481,2022-12-22
Lykta,S,Kokos,Parafinowy,true,20.00 zł,304861766395,109,2023-01-21
Takfönster,M,Świerk,Rzepakowy,true,25.00 zł,992374258073,54,2023-08-19
Glans,M,Jabłko-cynamon,Sojowy,false,35.00 zł,682372912191,871,2022-10-31
Lykta,S,Hiacynt,Pszczeli,true,20.00 zł,927895246724,990,2023-04-08
Gryning,M,Pomarańcza-goździki,Rzepakowy,true,20.00 zł,317868411953,796,2023-09-02
Glans,M,Grejpfrut,Pszczeli,true,35.00 zł,040428264199,590,2023-08-29
Veke,S,Mięta,Parafinowy,false,30.00 zł,720310531951,501,2023-11-30
Ljus,L,Wanilia,Sojowy,true,30.00 zł,028140851226,318,2022-11-22
Takfönster,L,Kokos,Parafinowy,false,35.00 zł,456064637530,935,2022-12-30
Lägereld,S,Kokos,Parafinowy,false,30.00 zł,800835761525,152,2022-07-25
Ljus,L,Lawenda,Parafinowy,false,30.00 zł,570661640619,357,2023-02-16
Gryning,S,Pomarańcza-goździki,Parafinowy,true,10.00 zł,937980550906,674,2022-09-01
Lykta,L,Wanilia,Sojowy,false,40.00 zł,400692792192,719,2023-07-05
Lykta,S,Sosna,Parafinowy,true,20.00 zł,046777984320,91,2023-11-02
Stjärna,M,Świerk,Parafinowy,true,50.00 zł,899178986478,817,2023-09-22
Stjärna,M,Wanilia,Parafinowy,true,50.00 zł,480439248691,950,2023-09-23
Takfönster,M,Kokos,Pszczeli,true,25.00 zł,280730163046,126,2023-01-20
Lykta,L,Grejpfrut,Rzepakowy,true,40.00 zł,542697735572,70,2023-03-15
Veke,M,Mięta,Parafinowy,true,40.00 zł,272215985507,774,2022-11-27
Veke,S,Jabłko-cynamon,Rzepakowy,true,30.00 zł,732290059497,879,2023-05-21
Lykta,M,Jaśmin,Parafinowy,false,30.00 zł,678654683037,627,2023-03-22
Gryning,L,Pomarańcza-goździki,Parafinowy,true,30.00 zł,901688195122,424,2022-11-21
Ljus,L,Sosna,Sojowy,false,30.00 zł,397468048409,741,2023-02-18
Lykta,M,Sosna,Parafinowy,true,30.00 zł,548413171500,857,2022-08-08
Veke,M,Świerk,Rzepakowy,true,40.00 zł,951122018005,533,2023-01-25
Gryning,M,Lawenda,Sojowy,false,20.00 zł,910162882367,345,2023-02-23
Gryning,M,Trawa cytrynowa,Pszczeli,false,20.00 zł,949092733668,925,2022-12-30
Lägereld,S,Wanilia,Parafinowy,true,30.00 zł,879195514805,252,2023-11-01
Glans,S,Jabłko-cynamon,Sojowy,true,25.00 zł,338706146445,555,2023-03-04
Lykta,M,Jabłko-cynamon,Pszczeli,false,30.00 zł,614801816020,693,2022-10-05
Veke,S,Jaśmin,Rzepakowy,false,30.00 zł,485656802946,361,2023-05-13
Takfönster,L,Kokos,Pszczeli,true,35.00 zł,110081039755,170,2023-08-14
Lägereld,M,Hiacynt,Rzepakowy,true,40.00 zł,874304164364,115,2023-10-20
Ljus,S,Jaśmin,Rzepakowy,true,10.00 zł,062812046492,980,2022-07-30
Glans,M,Lawenda,Rzepakowy,true,35.00 zł,444037808917,473,2023-09-18
Lägereld,L,Fiołek,Parafinowy,false,50.00 zł,090960362051,888,2023-10-30
Veke,M,Sosna,Rzepakowy,false,40.00 zł,067986673649,326,2023-09-01
Takfönster,L,Jaśmin,Pszczeli,false,35.00 zł,548607444185,794,2023-10-11
Veke,M,Kokos,Parafinowy,false,40.00 zł,360259620078,435,2022-12-15
Ljus,S,Kokos,Sojowy,false,10.00 zł,609105894826,838,2023-04-15
Stjärna,M,Grejpfrut,Sojowy,false,50.00 zł,526168699169,966,2023-02-05
Lykta,M,Świerk,Rzepakowy,false,30.00 zł,522175706030,149,2022-10-10
Gryning,M,Jaśmin,Parafinowy,false,20.00 zł,637065711262,958,2022-12-06
Lägereld,S,Grejpfrut,Parafinowy,false,30.00 zł,952656745162,531,2023-10-11
Gryning,L,Fiołek,Parafinowy,false,30.00 zł,605391695186,858,2023-03-12
Lägereld,M,Jaśmin,Sojowy,false,40.00 zł,998223080708,499,2022-11-10
Lägereld,M,Pomarańcza-goździki,Sojowy,true,40.00 zł,225400313591,133,2023-07-14
Glans,M,Lawenda,Parafinowy,false,35.00 zł,891745852765,900,2023-03-02
Glans,S,Kokos,Sojowy,false,25.00 zł,915268646698,566,2023-03-29
Stjärna,M,Kokos,Pszczeli,false,50.00 zł,923201400151,279,2023-11-03
Ljus,S,Hiacynt,Sojowy,false,10.00 zł,884392963123,300,2023-03-26
Ljus,M,Hiacynt,Pszczeli,false,20.00 zł,895208790965,44,2022-11-29
Takfönster,S,Hiacynt,Sojowy,false,15.00 zł,721263652743,506,2023-06-08
Lägereld,L,Trawa cytrynowa,Sojowy,false,50.00 zł,717267305676,647,2023-01-18
Veke,L,Mięta,Pszczeli,true,50.00 zł,846135649177,236,2023-11-23
Gryning,S,Hiacynt,Sojowy,false,10.00 zł,179639823995,310,2022-10-02
Stjärna,L,Lawenda,Pszczeli,false,60.00 zł,067170496406,881,2022-11-13
Takfönster,L,Grejpfrut,Rzepakowy,false,35.00 zł,042618902969,357,2022-12-27
Lykta,M,Kokos,Pszczeli,true,30.00 zł,248191060865,407,2022-08-24
Glans,M,Trawa cytrynowa,Pszczeli,true,35.00 zł,867041078384,356,2023-01-17
Lykta,L,Kokos,Sojowy,true,40.00 zł,469632238349,361,2022-07-31
Gryning,M,Wanilia,Rzepakowy,false,20.00 zł,189804104998,514,2022-08-12
Lykta,S,Świerk,Rzepakowy,true,20.00 zł,683128733855,536,2022-10-02
Gryning,M,Świerk,Parafinowy,false,20.00 zł,004054354922,447,2023-03-27
Gryning,L,Wanilia,Parafinowy,false,30.00 zł,796714028699,424,2023-11-06
Ljus,L,Grejpfrut,Parafinowy,false,30.00 zł,821995012130,853,2023-10-28
Lykta,S,Trawa cytrynowa,Rzepakowy,false,20.00 zł,732114328245,928,2022-08-19
Ljus,S,Jabłko-cynamon,Parafinowy,false,10.00 zł,793269575766,390,2023-04-11
Stjärna,M,Jaśmin,Sojowy,true,50.00 zł,106968362368,245,2023-07-28
Takfönster,M,Sosna,Parafinowy,true,25.00 zł,639428079579,929,2023-01-05
Glans,S,Wanilia,Parafinowy,true,25.00 zł,966651126766,129,2023-08-30
Lykta,L,Hiacynt,Rzepakowy,true,40.00 zł,623357891734,490,2023-05-14
Takfönster,L,Fiołek,Pszczeli,false,35.00 zł,893404043489,822,2022-12-31
Lykta,L,Grejpfrut,Parafinowy,false,40.00 zł,653905879401,426,2023-06-24
Lykta,M,Grejpfrut,Sojowy,false,30.00 zł,492309830740,971,2023-06-30
Takfönster,M,Świerk,Sojowy,false,25.00 zł,229573035680,285,2023-03-20
Glans,M,Jaśmin,Parafinowy,true,35.00 zł,228369596223,461,2022-11-07
Glans,M,Lawenda,Pszczeli,false,35.00 zł,051877815461,227,2023-09-05
Lägereld,L,Mięta,Pszczeli,true,50.00 zł,270944984638,378,2023-04-15
Takfönster,L,Sosna,Rzepakowy,false,35.00 zł,656089416181,617,2023-08-16
Ljus,S,Wanilia,Sojowy,true,10.00 zł,453038592861,372,2023-10-24
Takfönster,M,Trawa cytrynowa,Pszczeli,true,25.00 zł,801044994736,165,2023-07-12
Takfönster,L,Kokos,Sojowy,true,35.00 zł,867837070642,249,2022-08-09
Veke,S,Jabłko-cynamon,Parafinowy,true,30.00 zł,022867518583,196,2023-04-16
Lägereld,M,Fiołek,Sojowy,false,40.00 zł,486710440131,949,2023-02-07
Veke,L,Wanilia,Rzepakowy,true,50.00 zł,070233894201,322,2023-08-03
Stjärna,M,Grejpfrut,Rzepakowy,false,50.00 zł,888608668802,2,2023-02-28
Lägereld,S,Świerk,Rzepakowy,true,30.00 zł,584488302371,71,2023-08-10
Lägereld,M,Jaśmin,Sojowy,true,40.00 zł,985222639024,624,2023-01-21
Ljus,L,Jabłko-cynamon,Rzepakowy,true,30.00 zł,603087802996,909,2022-11-06
Lägereld,M,Jaśmin,Parafinowy,false,40.00 zł,053318495185,737,2022-10-05
Veke,M,Wanilia,Sojowy,true,40.00 zł,068530667670,6,2023-05-25
Gryning,L,Jabłko-cynamon,Sojowy,false,30.00 zł,583938965337,881,2022-08-04
Glans,L,Wanilia,Sojowy,false,45.00 zł,350206130556,129,2023-07-12
Stjärna,M,Lawenda,Pszczeli,true,50.00 zł,902258754579,318,2023-07-24
Lägereld,M,Wanilia,Sojowy,false,40.00 zł,548602856962,435,2023-09-29
Gryning,M,Sosna,Pszczeli,true,20.00 zł,433705578280,105,2023-09-08
Lägereld,L,Grejpfrut,Sojowy,true,50.00 zł,531261627907,85,2023-05-29
Glans,S,Jaśmin,Rzepakowy,true,25.00 zł,378130312850,580,2022-09-24
Glans,L,Fiołek,Rzepakowy,false,45.00 zł,594753093468,793,2023-02-27
Lägereld,M,Fiołek,Sojowy,false,40.00 zł,410206081054,789,2023-10-02
Lykta,S,Wanilia,Parafinowy,false,20.00 zł,122114390384,825,2023-09-14
Gryning,S,Sosna,Rzepakowy,true,10.00 zł,495706354383,674,2023-04-26
Takfönster,L,Świerk,Rzepakowy,true,35.00 zł,923000704162,467,2023-09-24
Stjärna,L,Świerk,Parafinowy,true,60.00 zł,479601992449,723,2022-11-03
Ljus,M,Jabłko-cynamon,Pszczeli,true,20.00 zł,063952375638,662,2022-11-19
Gryning,M,Świerk,Rzepakowy,false,20.00 zł,746741905959,520,2022-08-15
Ljus,M,Pomarańcza-goździki,Sojowy,true,20.00 zł,186362308876,468,2023-09-25
Stjärna,L,Trawa cytrynowa,Rzepakowy,true,60.00 zł,150984697171,851,2023-04-07
Glans,M,Trawa cytrynowa,Pszczeli,true,35.00 zł,759858316066,918,2023-04-16
Lykta,M,Trawa cytrynowa,Parafinowy,false,30.00 zł,246178238495,15,2022-11-07
Veke,S,Hiacynt,Sojowy,true,30.00 zł,515145217456,465,2022-10-14
Stjärna,M,Grejpfrut,Sojowy,true,50.00 zł,386881516394,458,2022-10-08
Glans,L,Pomarańcza-goździki,Sojowy,true,45.00 zł,067991178711,980,2022-11-28
Glans,L,Pomarańcza-goździki,Parafinowy,true,45.00 zł,774560370829,498,2023-02-14
Lykta,M,Jaśmin,Pszczeli,true,30.00 zł,938610384401,45,2023-04-07
Stjärna,S,Pomarańcza-goździki,Parafinowy,false,40.00 zł,059083168144,825,2022-11-09
Gryning,M,Grejpfrut,Parafinowy,true,20.00 zł,127386363104,852,2023-11-10
Veke,L,Kokos,Parafinowy,false,50.00 zł,455350012004,352,2023-04-06
Lägereld,M,Fiołek,Parafinowy,false,40.00 zł,839661910382,668,2022-12-31
Gryning,M,Pomarańcza-goździki,Pszczeli,false,20.00 zł,343005116317,816,2023-12-03
Takfönster,L,Świerk,Rzepakowy,false,35.00 zł,893836870467,340,2022-11-25
Lykta,M,Hiacynt,Parafinowy,false,30.00 zł,548572857962,634,2023-05-28
Lägereld,M,Świerk,Parafinowy,true,40.00 zł,375402617501,894,2023-04-25
Lägereld,M,Jaśmin,Parafinowy,true,40.00 zł,194529304474,439,2023-05-13
Lykta,M,Trawa cytrynowa,Pszczeli,true,30.00 zł,493381953397,363,2023-02-19
Gryning,S,Hiacynt,Sojowy,true,10.00 zł,437461811382,111,2023-08-02
Lägereld,L,Lawenda,Rzepakowy,false,50.00 zł,948501808808,57,2022-10-10
Glans,S,Kokos,Sojowy,false,25.00 zł,842337805493,863,2022-10-01
Stjärna,S,Wanilia,Rzepakowy,true,40.00 zł,523202022923,87,2022-09-06
Takfönster,S,Fiołek,Pszczeli,false,15.00 zł,245612293928,582,2023-10-13
Stjärna,M,Jabłko-cynamon,Sojowy,false,50.00 zł,048063347406,24,2023-11-01
Gryning,M,Fiołek,Pszczeli,true,20.00 zł,299648331684,840,2022-12-21
Lägereld,L,Hiacynt,Sojowy,true,50.00 zł,029664479890,12,2023-07-19
Glans,L,Trawa cytrynowa,Pszczeli,false,45.00 zł,557844907776,883,2022-11-02
Veke,L,Trawa cytrynowa,Rzepakowy,false,50.00 zł,454157201015,24,2023-08-20
Lykta,M,Fiołek,Pszczeli,false,30.00 zł,584801056655,87,2023-05-13
Gryning,M,Grejpfrut,Pszczeli,true,20.00 zł,419534903174,584,2023-03-22
Takfönster,L,Pomarańcza-goździki,Parafinowy,false,35.00 zł,119564274246,479,2022-09-02
Lykta,M,Jaśmin,Rzepakowy,true,30.00 zł,569354757873,517,2022-08-05
Gryning,L,Pomarańcza-goździki,Pszczeli,false,30.00 zł,540296038981,827,2023-03-18
Glans,S,Pomarańcza-goździki,Rzepakowy,true,25.00 zł,718802309927,881,2023-01-06
Lägereld,S,Jabłko-cynamon,Sojowy,false,30.00 zł,088318996530,6,2023-04-08
Lykta,M,Lawenda,Sojowy,true,30.00 zł,352175251931,125,2023-03-16
Takfönster,L,Fiołek,Parafinowy,false,35.00 zł,998186253001,143,2023-01-20
Lykta,L,Jaśmin,Pszczeli,false,40.00 zł,754820759285,199,2022-12-18
Takfönster,L,Świerk,Sojowy,false,35.00 zł,952600524780,845,2022-09-24
Takfönster,L,Fiołek,Parafinowy,false,35.00 zł,700718219107,424,2023-07-13
Takfönster,M,Kokos,Sojowy,true,25.00 zł,829793777523,646,2022-12-04
Takfönster,M,Sosna,Sojowy,true,25.00 zł,136109513774,576,2023-11-25
Lägereld,M,Lawenda,Rzepakowy,true,40.00 zł,264090425680,374,2022-12-09
Glans,S,Jabłko-cynamon,Parafinowy,false,25.00 zł,589290379946,300,2023-06-22
Gryning,S,Świerk,Pszczeli,true,10.00 zł,921493104563,410,2023-11-01
Lägereld,L,Pomarańcza-goździki,Parafinowy,false,50.00 zł,022110797151,989,2022-10-21
Lykta,M,Wanilia,Parafinowy,true,30.00 zł,230814291217,298,2023-04-15
Stjärna,L,Trawa cytrynowa,Rzepakowy,false,60.00 zł,289641989992,272,2022-08-19
Stjärna,M,Lawenda,Rzepakowy,true,50.00 zł,915033578418,728,2022-10-02
Stjärna,M,Kokos,Pszczeli,true,50.00 zł,083774330012,6,2022-08-24
Ljus,S,Grejpfrut,Parafinowy,true,10.00 zł,182885106107,524,2023-03-06
Glans,M,Fiołek,Rzepakowy,true,35.00 zł,676327220695,510,2023-04-21
Lägereld,S,Mięta,Rzepakowy,true,30.00 zł,190683642227,553,2023-03-27
Takfönster,L,Mięta,Rzepakowy,false,35.00 zł,781840810139,692,2023-11-01
Glans,M,Pomarańcza-goździki,Pszczeli,true,35.00 zł,517753602795,340,2022-11-02
Takfönster,L,Pomarańcza-goździki,Pszczeli,true,35.00 zł,441801290001,156,2023-08-28
Veke,L,Sosna,Pszczeli,false,50.00 zł,802605512318,922,2023-04-18
Lykta,S,Jaśmin,Parafinowy,true,20.00 zł,158438351024,541,2023-05-23
Gryning,S,Lawenda,Rzepakowy,true,10.00 zł,524542916376,999,2022-08-25
Ljus,L,Świerk,Sojowy,true,30.00 zł,114316495040,722,2023-10-01
Ljus,L,Hiacynt,Rzepakowy,false,30.00 zł,122193044271,531,2023-05-06
Gryning,M,Pomarańcza-goździki,Rzepakowy,false,20.00 zł,640086968658,778,2023-06-30
Lykta,L,Kokos,Parafinowy,true,40.00 zł,424936230801,205,2022-07-23
Glans,L,Pomarańcza-goździki,Sojowy,true,45.00 zł,843608028647,250,2023-03-29
Veke,S,Mięta,Parafinowy,true,30.00 zł,527337501229,985,2023-10-18
Lägereld,M,Jabłko-cynamon,Parafinowy,true,40.00 zł,449685024266,912,2023-06-03
Lägereld,S,Świerk,Pszczeli,true,30.00 zł,851826864852,963,2023-02-04
Lykta,M,Świerk,Sojowy,true,30.00 zł,884687543265,636,2023-05-10
Gryning,L,Trawa cytrynowa,Sojowy,true,30.00 zł,406964388512,809,2022-08-25
Gryning,L,Pomarańcza-goździki,Sojowy,true,30.00 zł,014626596547,771,2023-08-10
Glans,M,Fiołek,Pszczeli,true,35.00 zł,331452310663,994,2023-08-23
Lägereld,S,Kokos,Pszczeli,true,30.00 zł,534286539984,585,2022-12-24
Takfönster,M,Jaśmin,Parafinowy,false,25.00 zł,071414372647,636,2023-06-13
Glans,S,Jabłko-cynamon,Rzepakowy,false,25.00 zł,696591308570,230,2023-03-15
Takfönster,M,Mięta,Parafinowy,false,25.00 zł,349715881377,969,2022-12-19
Veke,L,Hiacynt,Parafinowy,true,50.00 zł,063667294961,472,2022-09-28
Glans,S,Sosna,Parafinowy,false,25.00 zł,076442410189,755,2023-11-08
Lägereld,L,Fiołek,Parafinowy,true,50.00 zł,641296697971,896,2023-09-14
Lägereld,S,Sosna,Pszczeli,true,30.00 zł,852199068176,732,2023-01-10
Lykta,M,Fiołek,Rzepakowy,false,30.00 zł,158460294979,387,2022-09-29
Takfönster,M,Jaśmin,Parafinowy,true,25.00 zł,078158996386,973,2023-10-14
Glans,L,Trawa cytrynowa,Sojowy,true,45.00 zł,170131785652,383,2023-08-10
Lägereld,S,Świerk,Rzepakowy,true,30.00 zł,456674492675,11,2023-04-07
Stjärna,L,Grejpfrut,Sojowy,true,60.00 zł,858328433411,869,2023-11-23
Veke,L,Fiołek,Rzepakowy,false,50.00 zł,256709581516,455,2022-09-28
Glans,S,Sosna,Rzepakowy,true,25.00 zł,914413428447,364,2023-03-02
Stjärna,M,Lawenda,Pszczeli,true,50.00 zł,074157316195,62,2023-02-20
Lägereld,M,Świerk,Pszczeli,true,40.00 zł,185486452957,559,2023-09-13
Glans,L,Sosna,Sojowy,true,45.00 zł,960439582818,334,2023-06-02
Takfönster,L,Trawa cytrynowa,Parafinowy,false,35.00 zł,569112246999,33,2023-03-17
Veke,L,Jabłko-cynamon,Rzepakowy,true,50.00 zł,634216649211,38,2023-05-09
Gryning,S,Mięta,Sojowy,false,10.00 zł,716548995364,175,2022-09-01
Gryning,L,Wanilia,Rzepakowy,true,30.00 zł,422336749849,257,2022-07-28
Gryning,M,Wanilia,Sojowy,false,20.00 zł,663660048255,441,2023-11-01
Veke,M,Świerk,Pszczeli,false,40.00 zł,168489141466,350,2023-11-12
Lägereld,M,Jabłko-cynamon,Parafinowy,false,40.00 zł,049590621196,501,2023-10-04
Glans,S,Grejpfrut,Sojowy,false,25.00 zł,931231065367,71,2023-04-12
Stjärna,L,Pomarańcza-goździki,Parafinowy,false,60.00 zł,137341543484,881,2022-10-24
Lägereld,M,Kokos,Pszczeli,false,40.00 zł,252722844437,511,2023-05-06
Lykta,L,Hiacynt,Sojowy,false,40.00 zł,886252344443,370,2023-03-30
Lägereld,S,Pomarańcza-goździki,Parafinowy,false,30.00 zł,191421428564,845,2023-05-07
Lykta,M,Mięta,Pszczeli,false,30.00 zł,925177868490,234,2022-11-24
Stjärna,S,Hiacynt,Rzepakowy,false,40.00 zł,838806825430,529,2022-11-29
Stjärna,M,Pomarańcza-goździki,Rzepakowy,true,50.00 zł,219390397573,173,2022-07-30
Takfönster,L,Hiacynt,Sojowy,true,35.00 zł,576586137550,928,2022-09-30
Glans,S,Grejpfrut,Pszczeli,true,25.00 zł,741217513962,653,2023-10-28
Glans,L,Lawenda,Sojowy,true,45.00 zł,499415142374,316,2023-08-20
Ljus,M,Trawa cytrynowa,Parafinowy,false,20.00 zł,257626145160,568,2022-10-07
Glans,L,Trawa cytrynowa,Rzepakowy,false,45.00 zł,878336764982,552,2023-02-16
Stjärna,L,Wanilia,Sojowy,false,60.00 zł,438641549465,493,2022-08-24
Ljus,M,Fiołek,Pszczeli,false,20.00 zł,042658698627,543,2023-07-13
Stjärna,M,Mięta,Rzepakowy,true,50.00 zł,259794987915,982,2023-04-25
Takfönster,M,Świerk,Sojowy,true,25.00 zł,705158723765,581,2023-04-24
Lägereld,M,Pomarańcza-goździki,Rzepakowy,true,40.00 zł,039834774189,354,2023-03-24
Lykta,M,Wanilia,Pszczeli,true,30.00 zł,732778695015,78,2023-05-31
Glans,S,Grejpfrut,Sojowy,true,25.00 zł,582395709749,216,2023-06-16
Takfönster,M,Świerk,Pszczeli,true,25.00 zł,303770502303,183,2023-01-30
Gryning,L,Hiacynt,Parafinowy,true,30.00 zł,252078789858,780,2022-12-09
Gryning,S,Jabłko-cynamon,Rzepakowy,true,10.00 zł,681336325199,753,2023-02-06
Gryning,L,Wanilia,Sojowy,false,30.00 zł,424834195674,670,2022-11-24
Lägereld,M,Lawenda,Parafinowy,true,40.00 zł,735299427612,502,2023-09-11
Gryning,S,Jaśmin,Parafinowy,false,10.00 zł,480604961972,178,2022-08-02
